Sex,occode,level3,Change_exit_pp,DiD_beta_pp,DiD_percentile,DiD_beta_type,N_1851_61,N_1861_81,Exit_1851_61_pp,Exit_1861_81_pp,Exit_1851_61,Exit_1861_81,DiD_beta_pp.x,DiD_beta_pp.y
Men,210,LEAD MINER,29.0111768935636,,100,Occupation placebo DiD,4920,3098,38.5162601626016,67.5274370561653,0.385162601626016,0.675274370561653,20.4247157093217,20.4247157093217
Men,577,RIBBON MANUFACTURE,25.9483646155065,,99.1341991341992,Occupation placebo DiD,2070,1403,57.7294685990338,83.6778332145403,0.577294685990338,0.836778332145403,17.8519610047398,17.8519610047398
Men,208,COPPER MINER,25.945935755548,,99.5670995670996,Occupation placebo DiD,3796,2124,57.4815595363541,83.4274952919021,0.574815595363541,0.834274952919021,18.4479724274575,18.4479724274575
Men,561,WOOL WINDERS WOOL WARPERS WOOL WEAVERS,25.2861501192143,,98.7012987012987,Occupation placebo DiD,7576,7293,40.3247096092925,65.6108597285068,0.403247096092925,0.656108597285068,17.2050784051947,17.2050784051947
Men,24,MEN OF THE NAVY (INC COASTGUARDS),24.9779517142542,,98.2683982683983,Occupation placebo DiD,965,940,59.1709844559586,84.1489361702128,0.591709844559586,0.841489361702128,15.3489700833936,15.3489700833936
Men,559,WOOL SPINNERS WOOL PIECERS,18.6220864178509,,97.4025974025974,Occupation placebo DiD,2177,2552,58.3371612310519,76.9592476489028,0.583371612310519,0.769592476489028,10.3484884692285,10.3484884692285
Men,576,SILK WORKERS - WEAVING PROCESSES,18.5761388978929,,97.8354978354978,Occupation placebo DiD,7442,4424,44.1951088417092,62.7712477396022,0.441951088417092,0.627712477396022,13.3701127885659,13.3701127885659
Men,141,CARMEN CARRIERS CARTERS AND DRAYMEN,18.1854396145725,,96.5367965367965,Occupation placebo DiD,11404,26452,71.4486145212206,89.6340541357932,0.714486145212206,0.896340541357932,9.22246177441308,9.22246177441308
Men,178,SHEPHERD,17.9313920787439,,96.1038961038961,Occupation placebo DiD,4080,6275,42.1323529411765,60.0637450199203,0.421323529411765,0.600637450199203,8.80926923987856,8.80926923987856
Men,209,TIN MINER,17.7466721732326,,96.969696969697,Occupation placebo DiD,2747,2305,42.7739352020386,60.5206073752712,0.427739352020386,0.605206073752712,9.36153451957698,9.36153451957698
Men,277,OTHER WORKERS IN TEXTILE MACHINERY FITTINGS,17.6349349900388,,95.2380952380952,Occupation placebo DiD,1156,1056,65.2249134948097,82.8598484848485,0.652249134948097,0.828598484848485,7.40225280654779,7.40225280654779
Men,242,PUDDLING FURNACES; IRON AND STEEL ROLLING MILLS,16.0460557102458,,95.6709956709957,Occupation placebo DiD,2647,3645,53.4189648658859,69.4650205761317,0.534189648658859,0.694650205761317,8.13956870810787,8.13956870810787
Men,579,SILK WORKERS - UNDEFINED,15.7588649892269,,93.5064935064935,Occupation placebo DiD,788,1112,63.1979695431472,78.9568345323741,0.631979695431472,0.789568345323741,6.6888797860907,6.6888797860907
Men,14,"MUNICIPAL, PARISH, AND  LOCAL OR COUNTY SHERIFFS AND CLERKS",15.3546579922291,,93.0735930735931,Occupation placebo DiD,651,510,82.4884792626728,97.843137254902,0.824884792626728,0.97843137254902,6.61262480400966,6.61262480400966
Men,258,MILLWRIGHT,15.2225203174987,,91.3419913419913,Occupation placebo DiD,1915,1598,42.0365535248042,57.2590738423029,0.420365535248042,0.572590738423029,5.59544165056711,5.59544165056711
Men,557,WOOLLEN CLOTH MANUFACTURE SORTING,15.2220382748462,,94.3722943722944,Occupation placebo DiD,1906,1454,47.6390346274921,62.8610729023384,0.476390346274921,0.628610729023384,6.9373482047176,6.9373482047176
Men,580,FLAX LINEN AND DAMASK MANUFACTURE (VARIOUS),14.8597742987116,,94.8051948051948,Occupation placebo DiD,1951,1282,52.6909277293696,67.5507020280811,0.526909277293696,0.675507020280811,7.01704576336271,7.01704576336271
Men,175,"FARMER'S, GRAZIER'S--SON, DAUGHTER, OR OTHER RELATIVE ASSISTING IN THE WORK OF THE FARM",14.8024389122589,,92.6406926406926,Occupation placebo DiD,20400,15354,77.2843137254902,92.0867526377491,0.772843137254902,0.920867526377491,6.39496307930018,6.39496307930018
Men,301,GUNSMITHS,14.1274016720711,,89.6103896103896,Occupation placebo DiD,1971,2024,47.2856418061898,61.4130434782609,0.472856418061897,0.614130434782609,4.16281177890576,4.16281177890576
Men,453,SAWYER; WOOD CUTTING MACHINIST,13.6361329988919,,91.7748917748918,Occupation placebo DiD,8124,5764,42.2451994091581,55.88133240805,0.42245199409158,0.5588133240805,6.0193681134802,6.0193681134802
Men,707,TOBACCONISTS,13.4175607001694,,92.2077922077922,Occupation placebo DiD,539,552,61.038961038961,74.4565217391304,0.61038961038961,0.744565217391304,6.36036808986535,6.36036808986535
Men,262,BLACKSMITHS,13.2448221158264,,89.1774891774892,Occupation placebo DiD,26314,22508,33.8451014668998,47.0899235827261,0.338451014668998,0.470899235827261,3.87917350566159,3.87917350566159
Men,121,"BANK SERVICE, BANK OFFICIALS AND CLERKS",12.8788555632052,,87.8787878787879,Occupation placebo DiD,1063,1074,51.6462841015993,64.5251396648045,0.516462841015993,0.645251396648045,3.71625196975056,3.71625196975056
Men,308,GAS STOVE MAKERS,12.7226146276676,,90.0432900432901,Occupation placebo DiD,818,648,53.7897310513448,66.5123456790123,0.537897310513448,0.665123456790123,4.32833374891813,4.32833374891813
Men,185,OTHER GARDENER (NOT DOMESTIC),12.5657066987613,,88.7445887445887,Occupation placebo DiD,17090,12521,52.7325921591574,65.2982988579187,0.527325921591574,0.652982988579187,3.79880440925943,3.79880440925943
Men,37,"CHURCH, CHAPEL, CEMETERY--OFFICER, ETC.",12.5592709634747,,90.4761904761905,Occupation placebo DiD,1237,550,65.8043654001617,78.3636363636364,0.658043654001617,0.783636363636364,4.59960761661003,4.59960761661003
Men,630,WOOLSTAPLER WOOL DEALER BROKER,12.5049462041416,,83.5497835497836,Occupation placebo DiD,730,727,63.6986301369863,76.2035763411279,0.636986301369863,0.762035763411279,2.14868389008486,2.14868389008486
Men,181,"AGRICULTURAL LABOURER, FARM SERVANT--NOT OTHERWISE DISTINGUISHED",12.3760660748754,,93.9393939393939,Occupation placebo DiD,290395,185936,37.5454122832693,49.9214783581448,0.375454122832693,0.499214783581447,6.78893110851185,6.78893110851185
Men,713,"INNKEEPERS, HOTEL KEEPERS AND PUBLICANS",12.1474136487388,,90.9090909090909,Occupation placebo DiD,11394,6788,59.4347902404774,71.5822038892163,0.594347902404774,0.715822038892163,4.90342773624292,4.90342773624292
Men,623,WOOL WOOLLEN GOODS FINISHERS,11.9827913865188,,87.012987012987,Occupation placebo DiD,696,877,77.2988505747127,89.2816419612315,0.772988505747127,0.892816419612315,3.09976313518417,3.09976313518417
Men,464,"BRICK, PLAIN TILE, TERRA-COTTA--MAKER",11.8859915100061,,88.3116883116883,Occupation placebo DiD,6936,6596,54.4117647058824,66.2977562158884,0.544117647058824,0.662977562158884,3.75591363128079,3.75591363128079
Men,292,FILE MAKERS,11.856642897242,,85.2813852813853,Occupation placebo DiD,1892,1947,31.183932346723,43.0405752439651,0.31183932346723,0.430405752439651,2.74644245136862,2.74644245136862
Men,179,"AGRICULTURAL LABOURER, FARM SERVANT--DISTINGUISHED AS IN CHARGE OF CATTLE",11.3020877475492,,70.995670995671,Occupation placebo DiD,1863,2470,84.4873859366613,95.7894736842105,0.844873859366613,0.957894736842105,-0.854716273540395,-0.854716273540395
Men,139,"HORSEKEEPER, GROOM, STABLEMAN (NOT DOMESTIC)",11.2882432158184,,84.4155844155844,Occupation placebo DiD,9519,9167,77.2139930664986,88.502236282317,0.772139930664986,0.88502236282317,2.40077160703578,2.40077160703578
Men,230,SAND FLINT CLAY GRAVEL CHALK WORKERS,11.2663308824948,,86.1471861471862,Occupation placebo DiD,690,751,56.3768115942029,67.6431424766977,0.563768115942029,0.676431424766977,2.83988141189192,2.83988141189192
Men,88,GAMEKEEPER,11.1096780081744,,87.4458874458875,Occupation placebo DiD,2515,2309,45.8846918489066,56.994369857081,0.458846918489066,0.56994369857081,3.39862488830543,3.39862488830543
Men,549,COTTON & COTTON GOODS MANUFACTURE SPINNING PROCESSES,10.9036941323348,,85.7142857142857,Occupation placebo DiD,8119,7371,60.3892104939032,71.292904626238,0.603892104939032,0.71292904626238,2.75449753668134,2.75449753668134
Men,519,PAPER MANUFACTURE,10.7940907961793,,81.3852813852814,Occupation placebo DiD,1383,1371,49.8915401301519,60.6856309263312,0.498915401301519,0.606856309263312,1.61603716861355,1.61603716861355
Men,27,MEN OF THE MARINES,10.7181897127634,,81.8181818181818,Occupation placebo DiD,1433,1031,87.4389392882066,98.1571290009699,0.874389392882066,0.981571290009699,1.67279405657116,1.67279405657116
Men,279,DOMESTIC MACHINERY MAKERS,10.6326407573843,,83.1168831168831,Occupation placebo DiD,2371,3423,84.9852382960776,95.6178790534619,0.849852382960776,0.956178790534619,2.02153694639386,2.02153694639386
Men,551,COTTON & COTTON GOODS MANUFACTURE WEAVING PROCESSES,10.3863043976563,,77.9220779220779,Occupation placebo DiD,12018,12094,59.0530870361125,69.4393914337688,0.590530870361125,0.694393914337688,0.672163980813654,0.672163980813654
Men,305,NAIL MANUFACTURE,10.3610352752506,,84.8484848484848,Occupation placebo DiD,4871,3185,34.2229521658797,44.5839874411303,0.342229521658797,0.445839874411303,2.47969593864525,2.47969593864525
Men,562,WORSTED AND STUFF MANUFACTURE WINDERS WARPERS WEAVERS,10.2821617531635,,86.5800865800866,Occupation placebo DiD,2863,2165,66.9926650366748,77.2748267898383,0.669926650366748,0.772748267898383,3.02575711870041,3.02575711870041
Men,290,TOOLMAKERS,10.0119307200633,,79.2207792207792,Occupation placebo DiD,1894,1679,55.8606124604013,65.8725431804646,0.558606124604013,0.658725431804646,0.94140655593356,0.94140655593356
Men,157,MERCHANT SERVICE; SEAMAN-NAVIGATING DEPARTMENT,10.0108968261876,,80.5194805194805,Occupation placebo DiD,7519,6171,58.8110121026732,68.8219089288608,0.588110121026732,0.688219089288608,1.24768262546402,1.24768262546402
Men,293,SAW MAKERS,9.89110707803993,,79.6536796536797,Occupation placebo DiD,551,534,40.1088929219601,50,0.401088929219601,0.5,1.03956215753693,1.03956215753693
Men,627,UNDEFINED TEXTILE FINISHERS,9.86228246629618,,78.3549783549784,Occupation placebo DiD,2581,1626,69.0430065865944,78.9052890528905,0.690430065865944,0.789052890528905,0.772315490455403,0.772315490455403
Men,550,COTTON & COTTON GOODS MANUFACTURE WINDING WARPING PROCESSES,9.78693584507271,,82.6839826839827,Occupation placebo DiD,2631,2361,61.8776130748765,71.6645489199492,0.618776130748765,0.716645489199492,1.70740588815233,1.70740588815233
Men,366,WHEELWRIGHT,9.60960402374965,,74.8917748917749,Occupation placebo DiD,7906,6460,38.9198077409562,48.5294117647059,0.389198077409562,0.485294117647059,0.0949960939429581,0.0949960939429581
Men,339,OTHER METAL WORKERS,9.5473280808556,,72.2943722943723,Occupation placebo DiD,929,714,77.2874058127018,86.8347338935574,0.772874058127018,0.868347338935574,-0.35533763732342,-0.35533763732342
Men,138,COACHMAN (NOT DOMESTIC): CABMAN,9.47610795926603,,83.982683982684,Occupation placebo DiD,4499,3605,65.281173594132,74.7572815533981,0.65281173594132,0.747572815533981,2.24425331225879,2.24425331225879
Men,686,CORN MILLERS,9.434487250536,,80.0865800865801,Occupation placebo DiD,8007,5744,45.4227550892969,54.8572423398329,0.454227550892969,0.548572423398329,1.07980339620826,1.07980339620826
Men,714,BEERSELLERS,9.25525940715782,,82.2510822510823,Occupation placebo DiD,3126,1963,81.829814459373,91.0850738665308,0.81829814459373,0.910850738665308,1.69573998563181,1.69573998563181
Men,768,ARTISANS MECHANICS,9.05231438579764,,77.4891774891775,Occupation placebo DiD,4907,4364,83.0650091705727,92.1173235563703,0.830650091705727,0.921173235563703,0.629052309184364,0.629052309184364
Men,226,STONE CUTTERS DRESSERS,9.03140718930193,,80.952380952381,Occupation placebo DiD,1254,1040,75.1993620414673,84.2307692307692,0.751993620414673,0.842307692307692,1.26633384543512,1.26633384543512
Men,414,MASON,8.85169622180479,,76.6233766233766,Occupation placebo DiD,17857,12799,28.4090272722182,37.260723494023,0.284090272722182,0.37260723494023,0.354330099896543,0.354330099896543
Men,348,SHIPWRIGHTS - WOOD SHIPS,8.80957490570574,,74.025974025974,Occupation placebo DiD,4992,5119,34.6754807692308,43.4850556749365,0.346754807692308,0.434850556749365,-0.0954895550334672,-0.0954895550334672
Men,211,MINERS IN OTHER OR UNDEFINED MINERALS,8.67272727272728,,75.3246753246753,Occupation placebo DiD,5500,2750,89.6909090909091,98.3636363636364,0.896909090909091,0.983636363636364,0.2236972990735,0.2236972990735
Men,677,"COWKEEPERS, MILKSELLERS",8.57926884436138,,77.0562770562771,Occupation placebo DiD,1444,1439,69.1135734072022,77.6928422515636,0.691135734072022,0.776928422515636,0.403755211337452,0.403755211337452
Men,470,OTHER WORKERS IN GLASS MANUFACTURE,8.57724712563423,,71.8614718614719,Occupation placebo DiD,1705,1512,53.7243401759531,62.3015873015873,0.537243401759531,0.623015873015873,-0.421696091689594,-0.421696091689594
